Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
RELIANCE,EQ,26-Apr-23,"2,376.05","2,379.00","2,386.10","2,354.05","2,361.90","2,362.10","2,363.34","39,77,129","9,39,93,18,934.15","1,59,924","20,98,237",52.76
RELIANCE,EQ,27-Apr-23,"2,362.10","2,375.00","2,384.00","2,364.00","2,381.70","2,377.05","2,373.05","42,30,627","10,03,94,93,207.75","1,51,491","20,32,293",48.04
RELIANCE,EQ,28-Apr-23,"2,377.05","2,382.00","2,423.90","2,381.75","2,419.90","2,420.50","2,409.46","71,83,342","17,30,79,47,047.80","2,26,856","40,54,041",56.44
RELIANCE,EQ,02-May-23,"2,420.50","2,436.20","2,445.80","2,428.10","2,440.20","2,441.05","2,438.83","59,91,101","14,61,12,50,968.30","2,13,010","38,88,221",64.9
RELIANCE,EQ,03-May-23,"2,441.05","2,445.00","2,445.00","2,413.05","2,418.00","2,420.10","2,423.03","32,59,053","7,89,67,75,124.85","1,22,949","18,26,435",56.04
RELIANCE,EQ,04-May-23,"2,420.10","2,421.15","2,452.85","2,414.60","2,445.95","2,448.00","2,438.20","39,85,159","9,71,66,26,291.25","1,48,384","17,41,751",43.71
RELIANCE,EQ,05-May-23,"2,448.00","2,441.00","2,461.35","2,436.00","2,441.00","2,441.75","2,447.86","40,36,548","9,88,09,00,102.30","1,71,662","15,38,067",38.1
RELIANCE,EQ,08-May-23,"2,441.75","2,450.00","2,483.65","2,444.15","2,471.00","2,471.90","2,468.41","42,24,469","10,42,77,25,788.55","1,69,304","24,01,148",56.84
RELIANCE,EQ,09-May-23,"2,471.90","2,475.00","2,486.80","2,463.25","2,476.70","2,479.55","2,476.94","29,83,468","7,38,98,73,116.30","1,67,950","14,71,944",49.34
RELIANCE,EQ,10-May-23,"2,479.55","2,490.00","2,499.85","2,481.20","2,492.00","2,496.60","2,493.65","50,17,544","12,51,20,18,443.70","1,47,588","27,95,603",55.72
RELIANCE,EQ,11-May-23,"2,496.60","2,498.95","2,509.50","2,476.55","2,482.00","2,480.30","2,494.02","48,72,451","12,15,19,66,094.10","1,90,308","20,18,589",41.43
RELIANCE,EQ,12-May-23,"2,480.30","2,469.80","2,487.40","2,456.50","2,481.90","2,484.35","2,473.50","32,09,889","7,93,96,58,229.75","1,16,311","16,62,095",51.78
RELIANCE,EQ,15-May-23,"2,484.35","2,489.90","2,504.55","2,473.15","2,484.75","2,489.25","2,492.24","31,53,587","7,85,94,81,400.85","1,39,761","16,40,574",52.02
RELIANCE,EQ,16-May-23,"2,489.25","2,494.00","2,499.60","2,450.15","2,454.55","2,453.80","2,474.17","40,23,000","9,95,35,70,679.50","2,02,246","21,54,699",53.56
RELIANCE,EQ,17-May-23,"2,453.80","2,463.00","2,465.00","2,429.00","2,442.00","2,439.30","2,444.63","40,60,722","9,92,69,61,637.20","1,55,508","16,02,975",39.48
RELIANCE,EQ,18-May-23,"2,439.30","2,449.55","2,457.00","2,427.15","2,433.00","2,434.05","2,443.67","48,57,531","11,87,02,19,947.45","1,45,659","10,04,981",20.69
RELIANCE,EQ,19-May-23,"2,434.05","2,434.05","2,445.95","2,418.85","2,444.00","2,441.95","2,432.71","37,15,280","9,03,82,04,553.15","1,18,264","13,98,819",37.65
RELIANCE,EQ,22-May-23,"2,441.95","2,435.00","2,466.00","2,432.35","2,454.50","2,455.00","2,455.77","34,31,208","8,42,62,66,009.20","1,22,501","12,02,296",35.04
RELIANCE,EQ,23-May-23,"2,455.00","2,460.65","2,468.00","2,451.45","2,453.00","2,454.55","2,460.13","28,11,473","6,91,65,83,531.40","1,21,065","14,84,525",52.8
RELIANCE,EQ,24-May-23,"2,454.55","2,445.90","2,464.00","2,433.45","2,441.00","2,440.25","2,447.77","37,43,804","9,16,39,84,988.70","1,32,191","18,28,787",48.85
RELIANCE,EQ,25-May-23,"2,440.25","2,433.90","2,449.00","2,416.05","2,444.85","2,439.95","2,430.14","53,01,647","12,88,37,32,875.05","1,36,521","22,32,701",42.11
RELIANCE,EQ,26-May-23,"2,439.95","2,458.00","2,509.00","2,450.75","2,508.80","2,506.50","2,489.54","58,27,017","14,50,66,12,501.75","1,97,182","28,89,346",49.59
RELIANCE,EQ,29-May-23,"2,506.50","2,521.00","2,530.00","2,507.20","2,518.20","2,520.60","2,519.76","46,19,754","11,64,06,58,051.85","1,84,530","25,05,419",54.23
RELIANCE,EQ,30-May-23,"2,520.60","2,520.60","2,537.70","2,514.35","2,520.55","2,519.95","2,524.94","52,34,564","13,21,69,61,279.00","1,73,212","26,45,328",50.54
RELIANCE,EQ,31-May-23,"2,519.95","2,500.00","2,509.85","2,461.00","2,466.95","2,469.90","2,477.34","1,25,10,304","30,99,22,95,693.45","2,89,027","87,30,857",69.79
RELIANCE,EQ,01-Jun-23,"2,469.90","2,480.15","2,484.90","2,458.00","2,467.00","2,463.25","2,472.06","67,34,525","16,64,81,39,919.55","2,16,233","40,83,929",60.64
RELIANCE,EQ,02-Jun-23,"2,463.25","2,471.00","2,482.85","2,451.00","2,455.25","2,455.20","2,459.32","72,91,995","17,93,33,84,336.15","1,60,655","50,68,213",69.5
RELIANCE,EQ,05-Jun-23,"2,455.20","2,467.20","2,483.75","2,458.45","2,479.95","2,477.25","2,470.14","50,34,355","12,43,55,36,493.30","1,61,758","34,13,545",67.81
